country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2024-02-11,TV,10,Yellowstone,Yellowstone: Season 1,4
Argentina,AR,2024-02-04,Films,1,Badland Hunters,N/A,2
Argentina,AR,2024-02-04,Films,2,Mindcage,N/A,2
Argentina,AR,2024-02-04,Films,3,Society of the Snow,N/A,5
Argentina,AR,2024-02-04,Films,4,Finding You,N/A,1
Argentina,AR,2024-02-04,Films,5,"Twenty-Something, Divorced and Fabulous",N/A,1
Argentina,AR,2024-02-04,Films,6,The Greatest Night in Pop,N/A,1
Argentina,AR,2024-02-04,Films,7,Orion and the Dark,N/A,1
Argentina,AR,2024-02-04,Films,8,Sixty Minutes,N/A,3
Argentina,AR,2024-02-04,Films,9,Lift,N/A,4
Argentina,AR,2024-02-04,Films,10,WILL,N/A,1
Argentina,AR,2024-02-04,TV,1,Griselda,Griselda: Limited Series,2
Argentina,AR,2024-02-04,TV,2,Alexander: The Making of a God,Alexander: The Making of a God: Season 1,1
Argentina,AR,2024-02-04,TV,3,Fool Me Once,Fool Me Once: Limited Series,5
Argentina,AR,2024-02-04,TV,4,The Tourist,The Tourist: Season 1,1
Argentina,AR,2024-02-04,TV,5,Baby Bandito,Baby Bandito: Season 1,1
Argentina,AR,2024-02-04,TV,6,Yellowstone,Yellowstone: Season 1,3
Argentina,AR,2024-02-04,TV,7,American Nightmare,American Nightmare: Season 1,3
Argentina,AR,2024-02-04,TV,8,Yellowstone,Yellowstone: Season 3,2
Argentina,AR,2024-02-04,TV,9,Yellowstone,Yellowstone: Season 2,3
Argentina,AR,2024-02-04,TV,10,Berlin,Berlin: Season 1,6
Argentina,AR,2024-01-28,Films,1,Mindcage,N/A,1
Argentina,AR,2024-01-28,Films,2,Society of the Snow,N/A,4
Argentina,AR,2024-01-28,Films,3,Sixty Minutes,N/A,2
Argentina,AR,2024-01-28,Films,4,Lift,N/A,3
Argentina,AR,2024-01-28,Films,5,Badland Hunters,N/A,1
Argentina,AR,2024-01-28,Films,6,The Forever Purge,N/A,2
Argentina,AR,2024-01-28,Films,7,From the Ashes,N/A,1
Argentina,AR,2024-01-28,Films,8,The Kitchen,N/A,1
Argentina,AR,2024-01-28,Films,9,The Favourite,N/A,1
Argentina,AR,2024-01-28,Films,10,Stillwater,N/A,2
Argentina,AR,2024-01-28,TV,1,Griselda,Griselda: Limited Series,1
Argentina,AR,2024-01-28,TV,2,Fool Me Once,Fool Me Once: Limited Series,4
Argentina,AR,2024-01-28,TV,3,American Nightmare,American Nightmare: Season 1,2
Argentina,AR,2024-01-28,TV,4,Yellowstone,Yellowstone: Season 1,2
Argentina,AR,2024-01-28,TV,5,Yellowstone,Yellowstone: Season 2,2
Argentina,AR,2024-01-28,TV,6,Berlin,Berlin: Season 1,5
Argentina,AR,2024-01-28,TV,7,Yellowstone,Yellowstone: Season 3,1
Argentina,AR,2024-01-28,TV,8,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc,2
Argentina,AR,2024-01-28,TV,9,Captains of the World,Captains of the World: Season 1,5
Argentina,AR,2024-01-28,TV,10,Detective Forst,Detective Forst: Season 1,3
Argentina,AR,2024-01-21,Films,1,Society of the Snow,N/A,3
Argentina,AR,2024-01-21,Films,2,Lift,N/A,2
Argentina,AR,2024-01-21,Films,3,Stillwater,N/A,1
Argentina,AR,2024-01-21,Films,4,Sixty Minutes,N/A,1
Argentina,AR,2024-01-21,Films,5,The Forever Purge,N/A,1
Argentina,AR,2024-01-21,Films,6,Wild,N/A,1
Argentina,AR,2024-01-21,Films,7,A Day to Die,N/A,2
Argentina,AR,2024-01-21,Films,8,John Wick: Chapter 3 - Parabellum,N/A,4
Argentina,AR,2024-01-21,Films,9,CJ7,N/A,2
Argentina,AR,2024-01-21,Films,10,Leo,N/A,5
Argentina,AR,2024-01-21,TV,1,Fool Me Once,Fool Me Once: Limited Series,3
Argentina,AR,2024-01-21,TV,2,American Nightmare,American Nightmare: Season 1,1
Argentina,AR,2024-01-21,TV,3,Yellowstone,Yellowstone: Season 1,1
Argentina,AR,2024-01-21,TV,4,Berlin,Berlin: Season 1,4
Argentina,AR,2024-01-21,TV,5,Detective Forst,Detective Forst: Season 1,2
Argentina,AR,2024-01-21,TV,6,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc,1
Argentina,AR,2024-01-21,TV,7,Yellowstone,Yellowstone: Season 2,1
Argentina,AR,2024-01-21,TV,8,Captains of the World,Captains of the World: Season 1,4
Argentina,AR,2024-01-21,TV,9,The Manny,N/A,4
Argentina,AR,2024-01-21,TV,10,Boy Swallows Universe,Boy Swallows Universe: Limited Series,2
Argentina,AR,2024-01-14,Films,1,Society of the Snow,N/A,2
Argentina,AR,2024-01-14,Films,2,Lift,N/A,1
Argentina,AR,2024-01-14,Films,3,A Day to Die,N/A,1
Argentina,AR,2024-01-14,Films,4,Under the Tuscan Sun,N/A,2
Argentina,AR,2024-01-14,Films,5,CJ7,N/A,1
Argentina,AR,2024-01-14,Films,6,Exodus: Gods and Kings,N/A,2
Argentina,AR,2024-01-14,Films,7,El Amor Menos Pensado,N/A,3
Argentina,AR,2024-01-14,Films,8,Matilda,N/A,3
Argentina,AR,2024-01-14,Films,9,The Descendants,N/A,2
Argentina,AR,2024-01-14,Films,10,The Boss Baby: Family Business,N/A,3
Argentina,AR,2024-01-14,TV,1,Fool Me Once,Fool Me Once: Limited Series,2
Argentina,AR,2024-01-14,TV,2,Berlin,Berlin: Season 1,3
Argentina,AR,2024-01-14,TV,3,Captains of the World,Captains of the World: Season 1,3
Argentina,AR,2024-01-14,TV,4,Detective Forst,Detective Forst: Season 1,1
Argentina,AR,2024-01-14,TV,5,Jeffrey Epstein: Filthy Rich,Jeffrey Epstein: Filthy Rich: Limited Series,2
Argentina,AR,2024-01-14,TV,6,The Manny,N/A,3
Argentina,AR,2024-01-14,TV,7,The Brothers Sun,The Brothers Sun: Season 1,1
Argentina,AR,2024-01-14,TV,8,Boy Swallows Universe,Boy Swallows Universe: Limited Series,1
Argentina,AR,2024-01-14,TV,9,True Beauty,N/A,5
Argentina,AR,2024-01-14,TV,10,A Nearly Normal Family,A Nearly Normal Family: Limited Series,8
Argentina,AR,2024-01-07,Films,1,Society of the Snow,N/A,1
Argentina,AR,2024-01-07,Films,2,Exodus: Gods and Kings,N/A,1
Argentina,AR,2024-01-07,Films,3,"Thank You, I'm Sorry",N/A,1
Argentina,AR,2024-01-07,Films,4,The Descendants,N/A,1
Argentina,AR,2024-01-07,Films,5,The Boss Baby: Family Business,N/A,2
Argentina,AR,2024-01-07,Films,6,Rebel Moon — Part One: A Child of Fire,N/A,3
Argentina,AR,2024-01-07,Films,7,El Amor Menos Pensado,N/A,2
Argentina,AR,2024-01-07,Films,8,The Book of Life,N/A,2
Argentina,AR,2024-01-07,Films,9,Under the Tuscan Sun,N/A,1
Argentina,AR,2024-01-07,Films,10,Leave the World Behind,N/A,5
Argentina,AR,2024-01-07,TV,1,Fool Me Once,Fool Me Once: Limited Series,1
Argentina,AR,2024-01-07,TV,2,Berlin,Berlin: Season 1,2
Argentina,AR,2024-01-07,TV,3,Captains of the World,Captains of the World: Season 1,2
Argentina,AR,2024-01-07,TV,4,The Manny,N/A,2
Argentina,AR,2024-01-07,TV,5,True Beauty,N/A,4
Argentina,AR,2024-01-07,TV,6,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,5
Argentina,AR,2024-01-07,TV,7,A Nearly Normal Family,A Nearly Normal Family: Limited Series,7
Argentina,AR,2024-01-07,TV,8,You Are What You Eat: A Twin Experiment,You Are What You Eat: A Twin Experiment: Limited Series,1
Argentina,AR,2024-01-07,TV,9,Jeffrey Epstein: Filthy Rich,Jeffrey Epstein: Filthy Rich: Limited Series,1
Argentina,AR,2024-01-07,TV,10,Somewhere Between,Somewhere Between: Limited Series,1
Argentina,AR,2023-12-31,Films,1,Rebel Moon — Part One: A Child of Fire,N/A,2
